"wiki/natural-transformation.txt","V4LvzlKlIZi6QffPoKjrITx9quXr/ZkEgqxKBud2Ubk","id:natural-transformation","title:Natural Transformation","tags:natural,transformation,naturality,transformations,functor,cat,functors,theory,categories,category,2-category,2-cell,2-morphism","blerb:"
"wiki/natural-isomorphism.txt","JSD2OR6pgRK7APBbJSM2gWUmmopy25GLl8cTY2DIr6s","id:natural-isomorphism","title:Natural Isomorphism","tags:natural,transformation,transformations,functor,category,isomorphism","blerb:"
"wiki/monoidal-category.txt","9oo8C9cVw5h8W3AjK5+qZaFW3QSUrTn6z1oPgChcSOM","id:monoidal-category","title:Monoidal Category","tags:monoid,monoidal,category,categories,string,diagram,diagrams,bicategory,bicategories,2-category,2-categories,bifunctor","blerb:"
"wiki/linear-logic.txt","U0oYaxlZmVlkTiMKgyNju6UN9xM3PoubBEsoDlnZi1I","id:linear-logic","title:Linear Logic","tags:girard,resource,substructural,affine,relevant,resources,category,theory,monoid,monoidal,string,star,autonomous,star-autonomous,*-autonomous,categories,once","blerb:"
"wiki/genealogy-of-morals.txt","bx0YWuxVtdk8pGkP1M+XbN43ksjRejbPjKv/uEw6bSM","id:genealogy-of-morals","title:Genealogy of Morals","tags:nietzsche,morality,slave,master,aristocrat,good,evil,bad,philosophy","blerb:"
"wiki/functor.txt","wZ6xNqOAexF0IbOsoZbORD0NEJzfqHiPzUzIgFC+B9I","id:functor","title:Functor","tags:category,cat,categories,bifunctor,functoriality,bifunctoriality,functors,bifunctors,homomorphism,homomorphisms,structure,preserving,theory","blerb:"
"wiki/functor-category.txt","+2McrztMPeL88vj2jG2p9WmIksVdNXhk9QnkX8cxh8E","id:functor-category","title:Functor Category","tags:functor,functors,category,categories,theory,natural,transformation,transformations,exponential,object,cat","blerb:"
"wiki/first-wiki.txt","YXvYadTvuv3JblcrhgGJDsIfI3Cts1qqUELhw0RPtrA","id:first-wiki","title:My First Wiki Page","tags:first wiki","blerb:"
"wiki/fame.txt","B1ski2K506tKVQcGOSKWq8GdG6bFIxhFRK9aUDyo4fY","id:fame","title:Fame","tags:plans,ryan,brewer","blerb:"
"wiki/exponential-object.txt","A5201uEZuTR00J/sAP2O7ELURy88py/qOTraOSZAqI0","id:exponential-object","title:Exponential Object","tags:exponential,object,objects,category,categories,arrow,arrows,morphism,morphisms,function,functions,type,types","blerb:"
